Rank,Author,Score,Students
2138,"James  Schummer Managerial Economics and Decision Sciences (MEDS), Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",2227.63,1
2139,Mohamed  Boutahar,2230.3,3
2140,Cem  Ertur †,2230.42,0.5
2141,"Vincenzo  Verardi Centre de Recherche en Économie de Développement (CRED), Faculté des Sciences Économiques, Sociales et de Gestion (FSESG), Université de Namur, Namur, Belgium",2231.86,0.5
2142,"Gabriel J Felbermayr Institut für Weltwirtschaft (IfW), Kiel, Germany",2233.63,2
2143,Nathan  Rosenberg †,2234.86,0.5
2144,"David  Dorn Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",2235.36,1
2145,"Chia-Lin  Chang Department of Applied Economics, National Chung-Hsing University, Taichung, TaiwanDepartment of Finance, National Chung-Hsing University, Taichung, Taiwan",2235.9,2
2146,"Jean-Christophe  Bureau Économie Publique, Département ECOSOCIO - Économie et Sciences Sociales pour l'Agriculture, l'Alimentation et l'Environnement (SAE2), Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement (INRAE), Paris-Grignon, France",2236.31,1.5
2147,"Christopher J.E. Bliss Economics Group, Nuffield College, Department of Economics, Oxford University, Oxford, United Kingdom",2236.71,0.5
2148,"Ansgar  Belke Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaften, Universität Duisburg-Essen, Essen, Germany",2237.59,1
2149,"Katarzyna  Maciejowska Katedra Badań Operacyjnych i Inteligencji Biznesowej, Politechnika Wrocławska, Wrocław, Poland",2238.03,0.5
2150,"Carsten  Helm Institut für Volkswirtschaftslehre, Carl von Ossietzky Universität Oldenburg, Oldenburg, Germany",2239.25,0.5
2151,"Marco  Battaglini Center for Analytic Economics, Department of Economics, Cornell University, Ithaca, New York (USA)",2240.14,0.5
2152,"Bruce A. McCarl Department of Agricultural Economics, Texas A&M University, College Station, Texas (USA)",2241.59,1.5
2153,"Esther  Ruiz Departamento de Estadistica, Universidad Carlos III de Madrid, Madrid, Spain",2242.77,0.5
2154,"Jesus  Ferreiro Departamento de Economía Aplicada V, Facultad de Economía y Empresa, Universidad del País Vasco - Euskal Herriko Unibertsitatea, Bilbao, Spain",2248.8,1.5
2155,"Thomas Randolph Beard Department of Economics, Auburn University, Auburn, Alabama (USA)",2251.56,0.5
2156,"Mary E. Lovely Department of Economics, Maxwell School, Syracuse University, Syracuse, New York (USA)",2252.61,0.5
2157,"Florin O. Bilbiie Départment d'économétrie et d'économie politique (DEEP), Faculté des Hautes Études Commerciales (HEC), Université de Lausanne, Lausanne, Switzerland",2253.98,0.5
2158,"Cristina  Terra Département d'Économie, ESSEC Business School, Cergy-Pontoise, France",2254.02,1
2159,"Francois  Rycx Département d'Économie Appliquée (DULBEA), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, BelgiumCentre Emile Bernheim, Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",2254.52,0.5
2160,"Lex  Meijdam https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",2257.86,1
2161,"Maxwell  Stinchcombe Department of Economics, University of Texas-Austin, Austin, Texas (USA)",2257.92,1.5
2162,"Alois  Guger Österreichisches Institut für Wirtschaftsforschung (WIFO), Wien, Austria",2258.23,0.5
2163,"Tobias  Kretschmer Fakultät für Betriebswirtschaft, Ludwig-Maximilians-Universität München, München, Germany",2259.35,1.5
2164,"James  Bullard Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",2261.26,0.5
2165,"Claude  d'Aspremont Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",2261.38,0.5
2166,"Daniel  Parent Institut d'Économie Appliquée, HEC Montréal (École des Hautes Études Commerciales), Montréal, Canada",2261.69,0.5
2167,Anna Maria Falzoni,2261.71,0.5
2168,"Carmen Diana  Deere Food and Resource Economics Department, University of Florida, Gainesville, Florida (USA)",2262.44,1
2169,"Matthieu  Bussiere Banque de France, Paris, France",2267.14,2.5
2170,"Pierre-Olivier  Weill Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",2267.52,1
2171,"Michael  Neugart Fachbereich Rechts- und Wirtschaftswissenschaften, Technische Universität Darmstadt, Darmstadt, Germany",2268.14,0.5
2172,"A. Ozlem  Onder İktisat Bölümü, İktisadi ve İdari Bilimler Fakültesi, Ege Üniversitesi, İzmir, Turkey",2268.65,2
2173,"Ian Peter Preston Department of Economics, University College London (UCL), London, United Kingdom",2268.71,1
2174,"Maurice  Salles Centre de Recherche en Économie et Management (CREM), Rennes/Caen, France",2269.61,0.5
2175,"Francesco  Bartolucci Dipartimento di Economia, Università degli Studi di Perugia, Perugia, Italy",2272.19,2
2176,"Harold  Houba Afdeling Econometrie and Operations Research, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, NetherlandsTinbergen Instituut, Amsterdam, Netherlands",2272.5,0.5
2177,"Marek  Gora Katedra Ekonomii I, Szkoła Główna Handlowa w Warszawie, Warszawa, Poland",2272.77,1
2178,"Maria  Saez-Marti Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",2273.03,1
2179,"Miana  Plesca Department of Economics and Finance, Gordon Lang School of Business and Economics, University of Guelph, Guelph, Canada",2273.44,2
2180,"Bas  Donkers Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",2274.34,0.5
2181,"Jan  Potters https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",2277.05,1
2182,"Koichiro  Kamada Faculty of Business and Commerce, Keio University, Tokyo, Japan",2278.21,1
2183,"Todd A. Sorensen Economics Department, University of Nevada-Reno, Reno, Nevada (USA)",2278.44,2
2184,"Fuad  Aleskerov International Laboratory of Decision Choice and Analysis, National Research University Higher School of Economics, Moscow, RussiaFaculty of Economics, National Research University Higher School of Economics, Moscow, Russia",2280.03,7
2185,Julio J. Rotemberg †,2280.12,0.5
2186,"Philippe  De Donder Toulouse School of Economics (TSE), Toulouse, France",2280.34,0.5
2187,"Francois Paul Maniquet Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",2280.96,1
2188,"C. N.  Teulings Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",2281.77,1
2189,"Aaron  Tornell Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2282.39,0.5
2190,"Dimitris  Georgoutsos Department of Accounting and Finance, Athens University of Economics and Business (AUEB), Athens, Greece",2282.71,1
2191,"Elie  Appelbaum Department of Economics, York University, Toronto, Canada",2286.01,0.5
2192,"James M. Snyder Jr.Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",2290.23,1
2193,"James Byron Davies Department of Economics, University of Western Ontario, London, Canada",2291.46,1.5
2194,"Albert  Park Department of Economics, Business School, Hong Kong University of Science and Technology (HKUST), Kowloon, Hong Kong",2292.96,0.5
2195,"Don  Harding Centre of Policy Studies and Impact Project (COPS), Victoria University, Melbourne, Australia",2293,0.5
2196,"Sam  Bucovetsky Department of Economics, York University, Toronto, Canada",2293.73,0.5
2197,Kimberly S. Rollins,2294.58,0.5
2198,"Dominique  Lepelley Centre d'Économie et de Management de l'Océan Indien (CEMOI), Faculté de Droit et de Sciences Économiques et Politiques, Université de la Réunion, St-Denis, Réunion",2294.61,0.5
2199,"Enrico  Perotti Finance Group, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",2295.17,1
2200,"Bradley  Ruffle Department of Economics, McMaster University, Hamilton, Canada",2295.87,1.5
2201,"Warren C. Sanderson Economics Department, Stony Brook University - SUNY, Stony Brook, New York (USA)",2298.02,0.5
2202,"John C. Quiggin Risk and Sustainable Management Group (RSMG), School of Economics, University of Queensland, Brisbane, Australia",2298.15,2
2203,"Olivier  Donni Théorie Économique, Modélisation, Application (THEMA), Université de Cergy-Pontoise, Cergy-Pontoise, France",2298.96,1.5
2204,"Bruno  Jossa Dipartimento di Teoria Economica e Applicazioni, Università degli Studi di Napoli - ""Federico II"", Napoli, Italy",2299.33,1
2205,"Mehmet Ali Ulubasoglu Department of Economics, Business School, Deakin University, Melbourne, Australia",2300.51,5
2206,"Teresa M.  Garcia-Munoz Departamento de Métodos Cuantitativos para la Economía y la Empresa, Facultad de Ciencias Económicas y Empresariales, Universidad de Granada, Granada, SpainGranada Lab of Behavioral Economics (GLOBE), Facultad de Ciencias Económicas y Empresariales, Universidad de Granada, Granada, Spain",2301.39,0.5
2207,Erik  Biorn †,2302.16,1
2208,"Yan  Bai Economics Department, University of Rochester, Rochester, New York (USA)",2303.29,1
2209,"Leopoldo  Fergusson Centro de Estudios Sobre Desarrollo Económico (CEDE), Facultad de Economía, Universidad de los Andes, Bogotá, ColombiaFacultad de Economía, Universidad de los Andes, Bogotá, Colombia",2303.35,2
2210,"Frederic  Koessler Paris School of Economics, Paris, France",2303.61,0.5
2211,"Roman  Inderst Abteilung Finanzen, Fachbereich Wirtschaftswissenschaft, Goethe Universität Frankfurt am Main, Frankfurt am Main, Germany",2304.31,1
2212,"Mark R. Montgomery Economics Department, Stony Brook University - SUNY, Stony Brook, New York (USA)",2306.13,0.5
2213,"Dimitris  Korobilis Department of Economics, Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",2306.19,2.5
2214,"Marcus  Asplund Økonomisk Institut, Copenhagen Business School, Frederiksberg, Denmark",2307.23,0.5
2215,"Andrew  Beauchamp Economics Department, Wright State University, Dayton, Ohio (USA)",2307.54,0.5
2216,"Kevin Daniel Sheedy Economics Department, London School of Economics (LSE), London, United KingdomCentre for Macroeconomics (CFM), London, United Kingdom",2307.89,1
2217,"Gianluca  Fiorentini Dipartimento di Scienze Economiche, Alma Mater Studiorum - Università di Bologna, Bologna, Italy",2308.96,1
2218,"Jens  Suedekum Düsseldorf Institute for Competition Economics (DICE), Wirtschaftswissenschaftliche Fakultät, Heinriche-Heine-Universität Düsseldorf, Düsseldorf, Germany",2309.26,2
2219,"Walter  Beckert Department of Economics, Mathematics and Statistics, Birkbeck College, London, United Kingdom",2311.01,0.5
2220,"Robert Alan Jones Department of Economics, Simon Fraser University, Burnaby, Canada",2311.39,1
2221,"Ioana R. Moldovan Department of Economics, Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",2311.44,0.5
2222,William J. Baumol †,2311.64,1
2223,"Richard G. Pierse National Institute of Economic and Social Research (NIESR), London, United Kingdom",2313.1,0.5
2224,"Mette  Ejrnaes Økonomisk Institut, Københavns Universitet, København, Denmark",2314.63,1
2225,"Dilip  Mookherjee Institute for Economic Development, Department of Economics, Boston University, Boston, Massachusetts (USA)",2316.65,1
2226,"Luiz Renato Lima Department of Economics, College of Business, University of Tennessee-Knoxville, Knoxville, Tennessee (USA)",2316.71,0.5
2227,"Antonio Brandao Moniz Inovação e Estudos de Tecnologia (IET), Centro Interdisciplinar de Ciências Sociais (CICS.NOVA), Faculdade de Ciências Sociais e Humanas, Universidade Nova de Lisboa, Lisboa, Portugal",2316.8,13.5
2228,"Arne  Hallam Department of Economics, Iowa State University, Ames, Iowa (USA)",2319.66,0.5
2229,"Gabor  Bekes Department of Economics and Business, Central European University, Budapest, Hungary",2319.86,0.5
2230,"Nicholas  Crafts Department of Economics, University of Warwick, Coventry, United Kingdom",2319.96,1
2231,"Aurora  Garcia-Gallego Departament d'Economia, Universitat Jaume I, Castellón de la Plana, SpainLaboratori d'Economia Experimental (LEE), Universitat Jaume I, Castellón de la Plana, Spain",2320.33,1.5
2232,"Alexandre  Dmitriev Department of Economics, Business School, University of Auckland, Auckland, New Zealand",2320.66,1
2233,"Joao  Correia-da-Silva Faculdade de Economia, Universidade do Porto, Porto, Portugal",2322.37,4
2234,"Hiroshi  Ono Graduate School of International Corporate Strategy, Business School, Hitotsubashi University, Tokyo, Japan",2322.64,1
2235,"Luigi  Guiso Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy",2323.01,0.5
2236,"Sumner Jonathan La Croix Department of Economics, University of Hawaii-Manoa, Manoa, Hawaii (USA)",2324.58,2
2237,"Rebecca M. Blank National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)Institute of Labor Economics (IZA), Bonn, Germany",2325.73,0.5
2238,"Cees  Withagen Institut de Préparation à l'Administration et à la Gestion (IPAG), Paris, France",2325.75,0.5
2239,"Eckhard  Platen Finance Discipline Group, Business School, University of Technology Sydney, Sydney, AustraliaQuantitative Finance Research Centre, Finance Discipline Group, Business School, University of Technology Sydney, Sydney, Australia",2325.9,2
2240,Andre  Farber †,2326.4,0.5
2241,"Ronald Patrick Smith Department of Economics, Mathematics and Statistics, Birkbeck College, London, United Kingdom",2326.87,0.5
2242,"Robert J. Willis Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",2327.55,0.5
2243,"Alfonso  Herranz-Loncan Departament d'Història Econòmica, Institucions, Política i Economia Mudial, Facultat d'Economia i Empresa, Universitat de Barcelona, Barcelona, SpainFacultat d'Economia i Empresa, Universitat de Barcelona, Barcelona, Spain",2328.12,3
2244,"Wolf  Wagner Department of Finance, Rotterdam School of Management (RSM Erasmus University), Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",2329.28,0.5
2245,"Jean-Benoit  Zimmermann Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM), École d'Économie d'Aix-Marseille, Aix-Marseille Université, Marseille, France",2329.44,0.5
2246,"Joao Victor Issler EPGE Escola Brasileira de Economia e Finanças, Fundação Getúlio Vargas (FGV), Rio de Janeiro, Brazil",2329.51,0.5
2247,"Marco Eugenio Carlo Vannini Centro Ricerche Nord Sud (CRENoS), Italy",2330.52,0.5
2248,"Rajneesh  Narula Henley Business School, University of Reading, Reading, United Kingdom",2330.55,0.5
2249,"A. Michael Spence Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",2330.78,0.5
2250,Lars  Clausen †,2331.23,0.5
2251,"Joachim Klaus Winter Volkswirtschaftliche Fakultät, Ludwig-Maximilians-Universität München, München, Germany",2333.41,1.5
2252,"Roger  Vickerman School of Economics, University of Kent, Canterbury, United Kingdom",2334.13,2
2253,"Patrick  Moyes Groupe de Recherche en Économie Théorique et Appliquée (GREThA), Université de Bordeaux, Bordeaux, France",2335.07,1
2254,"Peter  Norman Department of Economics, University of North Carolina-Chapel-Hill, Chapel Hill, North Carolina (USA)",2339.36,1
2255,"Shyam  Sunder School of Management, Yale University, New Haven, Connecticut (USA)",2339.63,1
2256,"John  Tsoukalas Department of Economics, Adam Smith Business School, University of Glasgow, Glasgow, United Kingdom",2340.44,0.5
2257,"Harry P. Huizinga Departement Algemene Economie, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",2341.56,0.5
2258,"Jean-Marie  Baland Centre de Recherche en Économie de Développement (CRED), Faculté des Sciences Économiques, Sociales et de Gestion (FSESG), Université de Namur, Namur, Belgium",2341.6,1.5
2259,"Yu  Xie Institute for Social Research (ISR), University of Michigan, Ann Arbor, Michigan (USA)",2343.5,1
2260,"Ruthira  Naraidoo Department of Economics, Faculty of Economic and Management Sciences, University of Pretoria, Pretoria, South Africa",2343.59,1.5
2261,"Hans  Linnemann Afdeling Ontwikkelings Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",2343.71,1
2262,"Christopher M. Meissner Economics Department, University of California-Davis, Davis, California (USA)",2344.78,0.5
2263,"Marios  Zachariadis Department of Economics, Faculty of Economics and Management, University of Cyprus, Nicosia, Cyprus",2346.48,4
2264,"Mathan  Satchi School of Economics, University of Kent, Canterbury, United Kingdom",2349.91,0.5
2265,"James C. Cox Experimental Economics Center, Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",2351.11,0.5
2266,"Christopher S. Cotton Economics Department, Queen's University, Kingston, Canada",2351.44,2
2267,"Constantinos Petros Katrakilidis Department of Economics, Aristotle University of Thessaloniki, Thessaloniki, Greece",2352.23,1
2268,"Wilfried  Altzinger WU Wirtschaftsuniversität Wien, Wien, Austria",2352.3,0.5
2269,"Hideo  Konishi Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",2352.36,2
2270,"Joseph F. Quinn Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",2353.33,1
2271,"Thomas  Straubhaar Sr.Fachbereich Volkswirtschaftslehre, Universität Hamburg, Hamburg, Germany",2355.73,1
2272,"Georg  Kirchsteiger European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",2356.19,1.5
2273,Conchita  D'Ambrosio,2357.34,1
2274,"Edoardo  Otranto Centro Ricerche Nord Sud (CRENoS), Italy",2360.59,0.5
2275,"Marno  Verbeek Department of Finance, Rotterdam School of Management (RSM Erasmus University), Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",2361.44,0.5
2276,"GianCarlo  Moschini Department of Economics, Iowa State University, Ames, Iowa (USA)",2361.48,0.5
2277,"Todd  Keister Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",2361.64,3.5
2278,"Yu  Zhu Department of Economics Studies, University of Dundee, Dundee, United Kingdom",2361.94,2
2279,"Yi  Jin Department of Economics, Monash Business School, Monash University, Melbourne, Australia",2362.84,1
2280,"Gregory  Jolivet Centre for Structural Econometrics, School of Economics, Finance and Management, University of Bristol, Bristol, United KingdomSchool of Economics, Finance and Management, University of Bristol, Bristol, United Kingdom",2363.41,0.5
2281,"Bard  Harstad Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",2364.04,0.5
2282,"Michael  Goujon Centre d'Études et de Recherches sur le Développement International (CERDI), École d'Économie, Université Clermont Auvergne, Clermont-Ferrand, France",2365.41,1.5
2283,Matthew N. Murray,2365.85,1
2284,"Itzhak  Zilcha Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",2366.08,1
2285,"Katrin  Rehdanz Institut für Volkswirtschaftslehre, Christian-Albrechts-Universität Kiel, Kiel, Germany",2367.69,1
2286,"Ricardo A. Lopez Internal Revenue Service (IRS), Government of the United States, Washington, District of Columbia (USA)",2368.48,2
2287,"Catherine  Araujo Bonjean Centre d'Études et de Recherches sur le Développement International (CERDI), École d'Économie, Université Clermont Auvergne, Clermont-Ferrand, France",2369.86,1
2288,"Debraj  Ray Department of Economics, New York University (NYU), New York City, New York (USA)",2371.21,0.5
2289,"Wolfgang  Pesendorfer Department of Economics, Princeton University, Princeton, New Jersey (USA)",2374,0.5
2290,"Vahagn  Galstyan Central Bank of Ireland, Dublin, Ireland",2375.73,0.5
2291,"Julie  Litchfield Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",2376.65,2.5
2292,"Guido  Ascari Department of Economics, Oxford University, Oxford, United Kingdom",2377.75,1.5
2293,Martin  Prachowny †,2378.02,0.5
2294,"Niklas  Potrafke ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",2379.63,1
2295,"Orville Jose C. Solon School of Economics, University of the Philippines at Diliman, Quezon City, Philippines",2380.69,2
2296,"Thomas  Siedler Fachbereich Volkswirtschaftslehre, Universität Hamburg, Hamburg, Germany",2381.23,0.5
2297,"Jean Marc Siroen DIAL, Paris, FranceLaboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX), Paris, France",2383.48,1
2298,"Bruce Alan Babcock School of Public Policy, University of California-Riverside, Riverside, California (USA)",2384.4,1
2299,"Etienne  Billette de Villemeur Lille Économie et Management (LEM), FranceFaculty of Economics and Social Sciences, Université de Lille, Lille, France",2385.34,1.5
2300,"Jang-Ting  Guo Department of Economics, University of California-Riverside, Riverside, California (USA)",2386.88,1.5
2301,Alan M. Rugman †,2390.19,0.5
2302,"Vincent J. Bodart Institut de Recherche Économique et Sociale (IRES), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",2390.57,0.5
2303,"Giovanni  Ponti Departamento de Fundamentos del Análisis Económico, Facultad de Ciencias Económicas y Empresariales, Universidad de Alicante, Alicante, Spain",2391.1,0.5
2304,"Matthew Buford Canzoneri Economics Department, Georgetown University, Washington, District of Columbia (USA)",2392,1
2305,"Edward R. Morey Department of Economics, University of Colorado, Boulder, Colorado (USA)",2392.94,1
2306,"Johannes  Van Biesebroeck Centrum voor Economische Studiën, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",2394.48,2.5
2307,"Philippe R. DeVille Institut de Recherche Économique et Sociale (IRES), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",2396.54,2
2308,"Lionel  Ragot EconomiX, Université Paris-Nanterre (Paris X), Nanterre, France",2397.8,0.5
2309,"David Andrew Kendrick Department of Economics, University of Texas-Austin, Austin, Texas (USA)",2399.27,1
2310,Ragnar  Frisch †,2399.28,1
2311,"Nuno  Crespo Unidade de Investigação em Desenvolvimento Empresarial (UNIDE), Business School, ISCTE - Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, PortugalDepartamento de Economia, Business School, ISCTE - Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal",2399.94,1
2312,"Edward John Cartwright Leicester Castle Business School, De Montfort University, Leicester, United Kingdom",2402.86,1
2313,"Kwan Koo  Yun Department of Economics, State University of New York-Albany (SUNY), Albany, New York (USA)",2406.33,1
2314,"Ana Maria  Herrera Department of Economics, Carol Martin Gatton College of Business and Economics, University of Kentucky, Lexington, Kentucky (USA)",2406.42,1
2315,"Catherine  Sofer Paris School of Economics, Paris, FranceCentre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris, France",2407.55,2
2316,"John D. Fitzgerald Economic and Social Research Institute (ESRI), Dublin, Ireland",2409.34,0.5
2317,"Michael  Baker Department of Economics, University of Toronto, Toronto, Canada",2410.8,0.5
2318,"Kausik  Chaudhuri Economics and Social Sciences, Indian Institute of Management Bangalore (IIMB), Bangalore, India",2411.23,0.5
2319,"Blaise  Melly Department Volkswirtschaftlehre, Universität Bern, Bern, Switzerland",2411.46,1
2320,"Luca  Stanca Dipartimento di Economia, Metodi Quantitativi e Strategie d'Impresa (DEMS), Scuola di Economia e Statistica, Università degli Studi di Milano-Bicocca, Milano, Italy",2411.75,1
2321,Gael  Giraud,2413.17,1
2322,Pierre  Lasserre †,2414.37,1
2323,"Axel Z. Anderson Economics Department, Georgetown University, Washington, District of Columbia (USA)",2415.98,0.5
2324,"Scott M. Gilpatric Department of Economics, College of Business, University of Tennessee-Knoxville, Knoxville, Tennessee (USA)",2417.67,2
2325,Charles W. Calomiris,2420.32,1
2326,"Carol Frances Newman Department of Economics, Trinity College Dublin, Dublin, Ireland",2420.33,1
2327,"Marcel Cristian Voia Laboratoire d'Économie d'Orléans (LEO), Faculté de droit, d'économie et de gestion, Université d'Orléans, Orléans, France",2421.88,2
2328,"Eric Baird French Department of Economics, University College London (UCL), London, United Kingdom",2423.01,1
2329,"Ion  Stancu Departamentul Finante, Facultatea de Finante, Asigurari, Banci şi Burse de Valori, Academia de Studii Economice din Bucureşti, Bucureşti, Romania",2424.84,2
2330,"Hubert  Jayet Lille Économie et Management (LEM), France",2425.65,1
2331,"Valerie  Mignon EconomiX, Université Paris-Nanterre (Paris X), Nanterre, France",2425.94,2
2332,"John K.-H. Quah Department of Economics, National University of Singapore (NUS), Singapore, Singapore",2426.81,1
2333,Robert W. Helsley,2429.19,1
2334,Muhammad Imtiaz Subhani,2429.39,1
2335,"Danilo  Guaitoli Department of Economics, New York University (NYU), New York City, New York (USA)",2429.42,1
2336,"Spiros  Bougheas School of Economics, University of Nottingham, Nottingham, United Kingdom",2430.5,1
2337,"Jon Desmond Stanford T. J. Ryan Foundation, Brisbane, Australia",2431.3,1
2338,"Rulof P. Burger Department of Economics, Fakulteit Ekonomiese en Bestuurswetenskappe, University of Stellenbosch, Stellenbosch, South Africa",2432.05,1.5
2339,"Vincent  Requillart Toulouse School of Economics (TSE), Toulouse, France",2433.91,1
2340,"Tara M. Sinclair Department of Economics, George Washington University, Washington, District of Columbia (USA)",2434.46,2.5
2341,"Marco  Francesconi Economics Department, University of Essex, Colchester, United Kingdom",2434.89,1
2342,"Roberto  Casarin Dipartimento di Economia, Università Ca' Foscari Venezia, Venezia, ItalyScuola Superiore di Economia (SSE-Ca' Foscari), Venezia, Italy",2436.23,1
2343,"K V. Ramaswamy Indira Gandhi Institute of Development Research (IGIDR), Mumbai, India",2436.28,0.5
2344,"Alberto  Martin European Central Bank, Frankfurt am Main, Germany",2436.3,0.5
2345,"Tiemen  Woutersen Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)",2436.98,0.5
2346,"Panu  Poutvaara ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",2437.65,2
2347,"Jeff E. Biddle Economics Department, Michigan State University, East Lansing, Michigan (USA)",2437.69,0.5
2348,"Jon  Faust Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)",2438.06,0.5
2349,"Ana Jesus Lopez-Menendez Departamento de Economía Aplicada, Facultad de Economía y Empresa, Universidad de Oviedo, Oviedo, Spain",2438.48,1
2350,"Dirk  Engelmann Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, Germany",2438.75,0.5
2351,"Gerard  Charreaux Centre de Recherche en Gestion des Organisations (CREGO), Université de Bourgogne, Dijon, France",2439.23,1
2352,"Pierre-Guillaume  Meon Centre Emile Bernheim, Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",2441.19,1.5
2353,"Gebhard  Flaig Volkswirtschaftliche Fakultät, Ludwig-Maximilians-Universität München, München, Germany",2441.33,0.5
2354,"Ufuk  Akcigit Department of Economics, University of Chicago, Chicago, Illinois (USA)",2443.02,0.5
2355,"Darren  Lubotsky Institute of Government and Public Affairs (IGPA), University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)Department of Economics, University of Illinois at Chicago, Chicago, Illinois (USA)",2444.09,2
2356,John  Bryant †,2445.19,0.5
2357,"Nadine  Massard Laboratoire d'Économie Appliquée de Grenoble, Grenoble, France",2448.05,1
2358,"William R. Zame Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",2448.81,0.5
2359,"Alvaro M. Pina Instituto Superior de Economia e Gestão (ISEG), Universidade de Lisboa, Lisboa, Portugal",2449.01,0.5
2360,"Matloob  Piracha School of Economics, University of Kent, Canterbury, United KingdomInstitute of Labor Economics (IZA), Bonn, Germany",2449.4,1
2361,"Kenneth A. Couch Department of Economics, University of Connecticut, Storrs, Connecticut (USA)",2450.57,2
2362,"Frederic  Gavrel Centre de Recherche en Économie et Management (CREM), Rennes/Caen, France",2450.92,2
2363,"Frederic  Gaspart Unité d'économie rurale, Université Catholique de Louvain, Louvain-la-Neuve, Belgium",2451.36,1
2364,"Stefan  Voigt Institut für Recht und Ökonomik, Universität Hamburg, Hamburg, Germany",2452.16,0.5
2365,"Raul  Ramos Grup d'Anàlisi Quantitativa Regional, Institut de Recerca en Economia Aplicada (IREA), Facultat d'Economia i Empresa, Universitat de Barcelona, Barcelona, Spain",2452.27,3.5
