Rank,Author,Score,Author_clean
2521,"Christopher Cornwell Department of Economics, Terry College of Business, University of Georgia, Athens, Georgia (USA)",1067,Christopher Cornwell
2521,Herbert E. Scarf †,1067,Herbert E. Scarf
2521,"Esther Ruiz Departamento de Estadistica, Universidad Carlos III de Madrid, Madrid, Spain",1067,Esther Ruiz
2525,"Andrea Brandolini Banca d'Italia, Roma, Italy",1065,Andrea Brandolini
2526,"Nancy P. Marion Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",1064,Nancy P. Marion
2526,"Herman K. van Dijk Tinbergen Instituut, Amsterdam, Netherlands",1064,Herman K. van
2526,"Till Marco von Wachter Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",1064,Till Marco
2529,"Carol A. Corrado Center for Business and Public Policy, McDonough School of Business, Georgetown University, Washington, District of Columbia (USA)The Conference Board, New York City, New York (USA)",1063,Carol A. Corrado
2529,"John M. Antle Departments of Applied Economics, Oregon State University, Corvallis, Oregon (USA)",1063,John M. Antle
2531,"Anastasios Xepapadeas Dipartimento di Scienze Economiche, Alma Mater Studiorum - Università di Bologna, Bologna, ItalyDepartment of International and European Economic Studies, Athens University of Economics and Business (AUEB), Athens, Greece",1062,Anastasios Xepapadeas
2531,"David Genesove Department of Economics, Hebrew University of Jerusalem, Jerusalem, Israel",1062,David Genesove
2533,"Daniel Gros Centre for European Policy Studies (CEPS), Bruxelles/Brussel, Belgium",1061,Daniel Gros
2534,"Odd Rune Straume Escola de Economia e Gestão, Universidade do Minho, Braga, PortugalNúcleo de Investigação em Políticas Económicas e Empresariais (NIPE), Escola de Economia e Gestão, Universidade do Minho, Braga, Portugal",1059,Odd Rune
2535,"William R. Cline Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",1058,William R. Cline
2536,Olivier Cadot †,1057,Olivier Cadot
2536,"Pradeep Dubey Economics Department, Stony Brook University - SUNY, Stony Brook, New York (USA)",1057,Pradeep Dubey
2538,"Bernd Hayo Volkswirtschaft Abteilung, Fachbereich Wirtschaftswissenschaften, Philipps-Universität Marburg, Marburg, Germany",1056,Bernd Hayo
2538,"John V. Duca Economic Research Department, Federal Reserve Bank of Dallas, Dallas, Texas (USA)",1056,John V. Duca
2540,Casey Ichniowski †,1055,Casey Ichniowski
2540,"James Raymond Vreeland Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",1055,James Raymond
2542,"Bernard S. Black Department of Finance, Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",1054,Bernard S. Black
2543,"Pietro Garibaldi Dipartimento di Scienze Economico-Sociali e Matematico-Statistiche, Università degli Studi di Torino, Torino, ItalyCollegio Carlo Alberto, Università degli Studi di Torino, Moncalieri, Italy",1053,Pietro Garibaldi
2543,"Eric Sims Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",1053,Eric Sims
2543,"Fabrizio Coricelli Paris School of Economics, Paris, France",1053,Fabrizio Coricelli
2546,"Glenn C Blomquist Department of Economics, Carol Martin Gatton College of Business and Economics, University of Kentucky, Lexington, Kentucky (USA)",1052,Glenn C
2546,"Donald S. Kenkel Department of Policy Analysis and Management, College of Human Ecology, Cornell University, Ithaca, New York (USA)",1052,Donald S. Kenkel
2548,"Alessandra Guariglia Department of Economics, University of Birmingham, Birmingham, United Kingdom",1051,Alessandra Guariglia
2548,"Tao Zhang China Economics and Management Academy, Central University of Finance and Economics (CUFE), Beijing, China",1051,Tao Zhang
2550,"Cees Withagen Institut de Préparation à l'Administration et à la Gestion (IPAG), Paris, France",1050,Cees Withagen
2550,"Olivier Deschenes Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",1050,Olivier Deschenes
2550,"Nicholas William Minot International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",1050,Nicholas William
2553,"Hans-Joachim Voth UBS International Center of Economics in Society, Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, SwitzerlandWirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",1049,Hans-Joachim Voth
2553,"Andrew Charles Worthington Department of Accounting, Finance and Economics, Griffith Business School, Griffith University, Brisbane, AustraliaGriffith Business School, Griffith University, Brisbane, Australia",1049,Andrew Charles
2553,"Jakob B. Madsen Department of Economics, Business School, University of Western Australia, Perth, Australia",1049,Jakob B. Madsen
2553,"Jan R. Magnus Afdeling Econometrie and Operations Research, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",1049,Jan R. Magnus
2553,"Fredrik Sjoholm Nationalekonomiska Institutionen, Ekonomihögskolan, Lunds Universitet, Lund, Sweden",1049,Fredrik Sjoholm
2558,Alan Heston,1048,Alan Heston
2558,Henry Saffer,1048,Henry Saffer
2558,"Adrien Verdelhan Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",1048,Adrien Verdelhan
2558,"Gerrit Cornelis van Kooten Department of Economics, University of Victoria, Victoria, Canada",1048,Gerrit Cornelis
2562,"Daniela Del Boca Collegio Carlo Alberto, Università degli Studi di Torino, Moncalieri, Italy",1047,Daniela Del
2562,"Rodrigo Reis Soares Insper Instituto de Ensino e Pesquisa, São Paulo, Brazil",1047,Rodrigo Reis
2562,Kajal Lahiri,1047,Kajal Lahiri
2562,"Guillaume Gaulier Banque de France, Paris, France",1047,Guillaume Gaulier
2566,"Pietro F. Peretto Department of Economics, Duke University, Durham, North Carolina (USA)",1046,Pietro F. Peretto
2566,"Rajneesh Narula Henley Business School, University of Reading, Reading, United Kingdom",1046,Rajneesh Narula
2566,"Arthur John Robson Department of Economics, Simon Fraser University, Burnaby, Canada",1046,Arthur John
2569,Cass Robert Sunstein,1045,Cass Robert
2569,"Janice Eberly Department of Finance, Kellogg Graduate School of Management, Northwestern University, Evanston, Illinois (USA)",1045,Janice Eberly
2569,"Alejandro Izquierdo Inter-American Development Bank, Washington, District of Columbia (USA)",1045,Alejandro Izquierdo
2569,"Thomas H. McInish Department of Economics, Fogelman College of Business and Economics, University of Memphis, Memphis, Tennessee (USA)",1045,Thomas H. McInish
2569,"James Joseph McAndrews Financial Institutions Center, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",1045,James Joseph
2569,"Markku Lanne Politiikan ja Talouden Tutkimuksen Laitos, Valtiotieteellinen tiedekunta, Helsingin Yliopisto, Helsinki, Finland",1045,Markku Lanne
2569,"Hugh Gravelle Centre for Health Economics, Department of Economics and Related Studies, University of York, York, United Kingdom",1045,Hugh Gravelle
2569,Jonathan Guryan,1045,Jonathan Guryan
2569,"Simona Iammarino Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",1045,Simona Iammarino
2569,"Ruut Veenhoven Erasmus Happiness Economics Research Organization (EHERO), Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",1045,Ruut Veenhoven
2579,"Jyotsna Jalan Centre for Studies in Social Sciences, Kolkata, India",1044,Jyotsna Jalan
2579,"Michael Koetter Leibniz-Institut für Wirtschaftsforschung Halle (IWH), Halle, Germany",1044,Michael Koetter
2581,"Nigel Pain Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris, France",1043,Nigel Pain
2582,"Giovanni Ferri Dipartimento di Giurisprudenza, Economica, Politica e Lingue moderne, Libera Università Maria Ss. Assunta (LUMSA), Roma, Italy",1042,Giovanni Ferri Dipartimento
2582,"Thomas Peyton Lyon Department of Business Economics and Public Policy, Ross School of Business, University of Michigan, Ann Arbor, Michigan (USA)",1042,Thomas Peyton
2584,"Steven Venti Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",1041,Steven Venti
2584,"Peter H. Lindert Economics Department, University of California-Davis, Davis, California (USA)",1041,Peter H. Lindert
2584,"Jon Danielsson Financial Markets Group (FMG), London School of Economics (LSE), London, United Kingdom",1041,Jon Danielsson
2584,"Ernesto Schargrodsky Escuela de Negocios, Universidad Torcuato Di Tella, Buenos Aires, Argentina",1041,Ernesto Schargrodsky
2588,"Ricardo M. Sousa Departamento de Economia, Escola de Economia e Gestão, Universidade do Minho, Braga, Portugal",1040,Ricardo M. Sousa
2588,"David Masclet Centre de Recherche en Économie et Management (CREM), Rennes/Caen, France",1040,David Masclet
2588,Seung-Hoon Yoo,1040,Seung-Hoon Yoo
2591,"Helge Berger Fachbereich Wirtschaftswissenschaft, Freie Universität Berlin, Berlin, GermanyInternational Monetary Fund (IMF), Washington, District of Columbia (USA)",1038,Helge Berger
2591,"Xuezhong He Finance Discipline Group, Business School, University of Technology Sydney, Sydney, Australia",1038,Xuezhong He
2591,"John Creedy Wellington School of Business and Government, Victoria University of Wellington, Wellington, New Zealand",1038,John Creedy
2591,"Stein Terje Holden School of Economics and Business, Norges miljø- og biovitenskapelig universitet, Ås, Norway",1038,Stein Terje
2591,"Juan-Pablo Montero Instituto de Economía, Facultad de Ciencia Económicas y Administrativas, Pontificia Universidad Católica de Chile, Santiago, Chile",1038,Juan-Pablo Montero
2596,"Erik Plug Amsterdam School of Economics, Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",1037,Erik Plug
2597,Philipp Hartmann,1036,Philipp Hartmann
2597,"Cristiano Antonelli Dipartimento di Economia e Statistica ""Cognetti de Martiis"", Università degli Studi di Torino, Torino, ItalyCollegio Carlo Alberto, Università degli Studi di Torino, Moncalieri, Italy",1036,Cristiano Antonelli
2599,"Vikrant Vig London Business School (LBS), London, United Kingdom",1035,Vikrant Vig
2600,"Michele Lenza European Central Bank, Frankfurt am Main, Germany",1034,Michele Lenza
2601,"Kevin Roberts Department of Economics, Oxford University, Oxford, United Kingdom",1033,Kevin Roberts
2601,John Pencavel,1033,John Pencavel
2601,"Raymond G. Riezman Institut for Økonomi, Aarhus Universitet, Aarhus, Denmark",1033,Raymond G. Riezman
2601,"Sherrill Shaffer Department of Economics, College of Business, University of Wyoming, Laramie, Wyoming (USA)",1033,Sherrill Shaffer
2601,"Robert Christopher Johnson Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",1033,Robert Christopher
2601,"Valerie R. Bencivenga Department of Economics, University of Texas-Austin, Austin, Texas (USA)",1033,Valerie R. Bencivenga
2607,Yujiro Hayami †,1032,Yujiro Hayami
2608,"Brent Neiman Booth School of Business, University of Chicago, Chicago, Illinois (USA)",1030,Brent Neiman
2608,"Roman Horvath Institut ekonomických studií, Univerzita Karlova v Praze, Praha, Czech Republic",1030,Roman Horvath
2610,"Elizabeth Asiedu Department of Economics, University of Kansas, Lawrence, Kansas (USA)",1029,Elizabeth Asiedu
2610,"Syed Abul Basher Department of Economics, Faculty of Business and Economics, East West University, Dhaka, Bangladesh",1029,Syed Abul
2612,"Jason Fletcher Robert M. La Follette School of Public Affairs, University of Wisconsin-Madison, Madison, Wisconsin (USA)",1028,Jason Fletcher Robert
2612,"John Kennan Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",1028,John Kennan
2614,"Jeroen Vk Rombouts ESSEC Business School, Cergy-Pontoise, France",1027,Jeroen Vk
2615,"Oz Shy Economic Research Department, Federal Reserve Bank of Atlanta, Atlanta, Georgia (USA)",1026,Oz Shy
2616,"Siong Hook Law Fakulti Ekonomi Dan Pengurusan, Universiti Putra Malaysia (UPM), Serdang, Malaysia",1025,Siong Hook
2616,"Luca Gambetti Departament d'Economia i Història Econòmica, Universitat Autònoma de Barcelona, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",1025,Luca Gambetti
2616,"Fulvio Corsi Dipartimento di Economia, Università Ca' Foscari Venezia, Venezia, Italy",1025,Fulvio Corsi
2616,"James Konow Institut für Volkswirtschaftslehre, Christian-Albrechts-Universität Kiel, Kiel, GermanyEconomics Department, Loyola Marymount University, Los Angeles, California (USA)",1025,James Konow
2620,"Alain Trognon Centre de Recherche en Économie et Statistique (CREST), Palaiseau, FranceMaison des Sciences Économiques, Université Paris 1 (Panthéon-Sorbonne), Paris, France",1024,Alain Trognon
2620,"Ronald Davies School of Economics, University College Dublin, Dublin, Ireland",1024,Ronald Davies
2620,"Massimo Tavoni RFF-CMCC European Institute on Economics and the Environment (EIEE), Milano, ItalyDipartimento di Ingegneria Gestionale, Politecnico di Milano, Milano, Italy",1024,Massimo Tavoni
2620,"Daniel Levy Department of Economics, Bar Ilan University, Ramat-Gan, Israel",1024,Daniel Levy
2620,"Josef Zechner WU Wirtschaftsuniversität Wien, Wien, Austria",1024,Josef Zechner
2620,"Marco Battaglini Center for Analytic Economics, Department of Economics, Cornell University, Ithaca, New York (USA)",1024,Marco Battaglini
2620,"Bernt Bratsberg Stiftelsen Frischsenteret for samfunnsøkonomisk forskning, Universitetet i Oslo, Oslo, Norway",1024,Bernt Bratsberg
2620,"Franco Peracchi Economics Department, Georgetown University, Washington, District of Columbia (USA)",1024,Franco Peracchi
2628,"Xinshen Diao International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",1023,Xinshen Diao
2628,"Ira N. Gang Department of Economics, Rutgers University-New Brunswick, New Brunswick, New Jersey (USA)",1023,Ira N. Gang
2628,"Arthur Jan Hendricus Christoffel Schram Centre for Research in Experimental Economics and Political Decision-Making (CREED), Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, NetherlandsDepartment of Economics, European University Institute, Firenze, Italy",1023,Arthur Jan
2628,"Nicholas Mbaya Odhiambo Department of Economics, College of Economic and Management Sciences, University of South Africa (UNISA), Pretoria, South Africa",1023,Nicholas Mbaya
2628,"Belton M. Fleisher Central University of Finance and Economics (CUFE), Beijing, China",1023,Belton M. Fleisher
2633,"Graciela Chichilnisky Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",1021,Graciela Chichilnisky
2633,"Jing Cynthia Wu Department of Economics, University of Notre Dame, South Bend, Indiana (USA)",1021,Jing Cynthia
2635,"Keith H. Coble Department of Agricultural Economics, Mississippi State University, Starkville, Mississippi (USA)",1020,Keith H. Coble
2635,Roger Kormendi †,1020,Roger Kormendi
2635,"Peter Murrell Department of Economics, University of Maryland, College Park, Maryland (USA)",1020,Peter Murrell
2635,"Nigel Key Economic Research Service, Department of Agriculture, Government of the United States, Washington, District of Columbia (USA)",1020,Nigel Key
2639,"Christian Rammer Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW), Mannheim, Germany",1019,Christian Rammer
2639,"Ester Faia Abteilung Geld und Währung, Fachbereich Wirtschaftswissenschaft, Goethe Universität Frankfurt am Main, Frankfurt am Main, Germany",1019,Ester Faia
2639,Peter E. Kennedy †,1019,Peter E. Kennedy
2639,"Franck Portier Department of Economics, University College London (UCL), London, United Kingdom",1019,Franck Portier
2639,"Jill J. McCluskey School of Economic Sciences, Washington State University, Pullman, Washington (USA)",1019,Jill J. McCluskey
2644,"Nancy Theresa Gallini Vancouver School of Economics, University of British Columbia, Vancouver, Canada",1018,Nancy Theresa
2644,"Marc-Andreas Muendler Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",1018,Marc-Andreas Muendler
2644,"Bertil Tungodden Institutt for samfunnsøkonomi, Norges Handelshøyskole (NHH), Bergen, Norway",1018,Bertil Tungodden
2647,"Richard George Lipsey Department of Economics, Simon Fraser University, Burnaby, Canada",1017,Richard George
2647,"David de Meza Department of Management, London School of Economics (LSE), London, United Kingdom",1017,David de
2649,"Andrea Tambalotti Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",1016,Andrea Tambalotti
2649,"Vijayendra Rao Economics Research, World Bank Group, Washington, District of Columbia (USA)",1016,Vijayendra Rao
2649,"Russell S. Sobel School of Business Administration, The Citadel, Charleston, South Carolina (USA)",1016,Russell S. Sobel
2652,"Sohnke M. Bartram Finance Group, Warwick Business School, University of Warwick, Coventry, United Kingdom",1015,Sohnke M. Bartram
2652,"Robert G. Crawford Marriott School of Business, Brigham Young University, Provo, Utah (USA)",1015,Robert G. Crawford
2652,"Peter T. Leeson Economics Department, George Mason University, Fairfax, Virginia (USA)",1015,Peter T. Leeson
2652,"Naci H. Mocan Department of Economics, Ourso College of Business, Louisiana State University, Baton Rouge, Louisiana (USA)",1015,Naci H. Mocan
2656,"Mike Burkart Finance Department, London School of Economics (LSE), London, United Kingdom",1014,Mike Burkart
2656,"Adam Simon Posen Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",1014,Adam Simon Posen
2656,"Nina Smith Institut for Økonomi, Aarhus Universitet, Aarhus, Denmark",1014,Nina Smith
2659,"Owen O'Donnell Capaciteitsgroep Toegepaste Economie, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",1013,Owen O'Donnell
2659,"Jeremy Smith Department of Economics, University of Warwick, Coventry, United Kingdom",1013,Jeremy Smith
2661,"Gordon C. Rausser Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)",1012,Gordon C. Rausser
2661,"Mary O'Mahony Business School, King's College London, London, United Kingdom",1012,Mary O'Mahony
2663,"Albert Park Department of Economics, Business School, Hong Kong University of Science and Technology (HKUST), Kowloon, Hong Kong",1011,Albert Park
2663,"Julian di Giovanni Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",1011,Julian di
2663,"Dan Bernhardt Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)Department of Economics, University of Warwick, Coventry, United Kingdom",1011,Dan Bernhardt
2666,Simon Kuznets †,1010,Simon Kuznets
2667,"Alexander W. Hoffmaister International Monetary Fund (IMF), Washington, District of Columbia (USA)",1009,Alexander W. Hoffmaister
2667,"Alessandro Nicita United Nations Conference on Trade and Development (UNCTAD), United Nations, Genève, Switzerland",1009,Alessandro Nicita
2669,"Andrea Frazzini Booth School of Business, University of Chicago, Chicago, Illinois (USA)",1008,Andrea Frazzini
2669,"Kathleen Weiss Hanley College of Business and Economics, Lehigh University, Bethlehem, Pennsylvania (USA)",1008,Kathleen Weiss
2671,"Esfandiar Maasoumi Department of Economics, Emory University, Atlanta, Georgia (USA)",1007,Esfandiar Maasoumi
2671,"Charles Peter Timmer Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",1007,Charles Peter
2671,"Harald Hau Swiss Finance Institute, Genève/Zürich, Switzerland",1007,Harald Hau
2671,"Firouz Gahvari Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",1007,Firouz Gahvari
2671,"Gerhard Sorger Institut für Volkswirtschaftslehre, Fakultät für Wirtschaftswissenschaften, Universität Wien, Wien, Austria",1007,Gerhard Sorger
2676,"Peter J Hammond Department of Economics, University of Warwick, Coventry, United Kingdom",1006,Peter J
2677,"Andrea Filippo Presbitero International Monetary Fund (IMF), Washington, District of Columbia (USA)",1005,Andrea Filippo
2678,"Julia Lane Furman Center for Real Estate and Urban Policy, Wagner Graduate School of Public Service, New York University (NYU), New York City, New York (USA)",1004,Julia Lane
2678,"Kristiaan H. J. Kerstens Lille Économie et Management (LEM), France",1004,Kristiaan H. J.
2678,"Noah Williams Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",1004,Noah Williams
2681,"Karen Helene Ulltveit-Moe Økonomisk institutt, Universitetet i Oslo, Oslo, Norway",1003,Karen Helene
2681,"Todd B. Walker Department of Economics, Indiana University, Bloomington, Indiana (USA)",1003,Todd B. Walker
2681,Shiqing Ling,1003,Shiqing Ling
2684,"Andreas Lange Fachbereich Volkswirtschaftslehre, Universität Hamburg, Hamburg, Germany",1002,Andreas Lange
2684,"Alfons Oude Lansink Leerstoelgroep Bedrijfseconomie, Wageningen Universiteit en Researchcentrum, Wageningen, Netherlands",1002,Alfons Oude
2684,"Michael Kosfeld Abteilung Management und Mikroökonomik, Fachbereich Wirtschaftswissenschaft, Goethe Universität Frankfurt am Main, Frankfurt am Main, Germany",1002,Michael Kosfeld
2684,"Carl-Johan Dalgaard Økonomisk Institut, Københavns Universitet, København, Denmark",1002,Carl-Johan Dalgaard
2688,"Ivan Hascic Environment Directorate, Organisation de Coopération et de Développement Économiques (OCDE), Paris, France",1001,Ivan Hascic
2688,"Per Johansson Institutet för Arbetsmarknads- och Utbildningspolitisk Utvärdering (IFAU), Arbetsmarknadsdepartementet, Government of Sweden, Uppsala, SwedenNationalekonomiska Institutionen, Uppsala Universitet, Uppsala, Sweden",1001,Per Johansson
2690,"Randall P. Ellis Department of Economics, Boston University, Boston, Massachusetts (USA)",1000,Randall P. Ellis
2690,"David Matthew Levinson Institute of Transport and Logistics Studies (ITLS), Business School, University of Sydney, Sydney, Australia",1000,David Matthew
2690,"Raffaele Paci Centro Ricerche Nord Sud (CRENoS), Italy",1000,Raffaele Paci
2690,"Emi Nakamura Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",1000,Emi Nakamura
2690,"Pavel Ciaian Joint Research Centre, European Commission, Ispra, Italy",1000,Pavel Ciaian
2695,"Neeltje Van Horen Bank of England, London, United Kingdom",999,Neeltje Van
2695,"Francis John Teal Centre for the Study of African Economies (CSAE), Department of Economics, Oxford University, Oxford, United Kingdom",999,Francis John
2695,"Till Requate Institut für Volkswirtschaftslehre, Christian-Albrechts-Universität Kiel, Kiel, Germany",999,Till Requate
2698,William Robert Maurice Perraudin,998,William Robert
2698,Riccardo Faini †,998,Riccardo Faini
2700,"Michael Funke Institut für Makroökonomie und Wirtschaftspolitik, Fachbereich Volkswirtschaftslehre, Universität Hamburg, Hamburg, Germany",997,Michael Funke
2700,"Michael J. Grubb Institute for Sustainable Resources, University College London (UCL), London, United Kingdom",997,Michael J. Grubb
2700,"Dennis Tao Yang Darden School of Business, University of Virginia, Charlottesville, Virginia (USA)",997,Dennis Tao
2700,"Philip Kenneth Robins Department of Economics, School of Business, University of Miami, Coral Gables, Florida (USA)",997,Philip Kenneth
2700,"Poonam Gupta National Institute of Public Finance and Policy, New Delhi, India, India",997,Poonam Gupta
2705,"Joao Santos Federal Reserve Bank of New York, New York City, New York (USA)",996,Joao Santos
2705,"Geeta Gandhi Kingdon Centre for Longitudinal Studies, Department of Quantitative Social Science, Institute of Education, London, United KingdomDepartment of Economics, University College London (UCL), London, United Kingdom",996,Geeta Gandhi
2705,"Enrique Lopez-Bazo Grup d'Anàlisi Quantitativa Regional, Institut de Recerca en Economia Aplicada (IREA), Facultat d'Economia i Empresa, Universitat de Barcelona, Barcelona, SpainFacultat d'Economia i Empresa, Universitat de Barcelona, Barcelona, Spain",996,Enrique Lopez-Bazo
2705,"Darius Noshir Lakdawalla Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",996,Darius Noshir Lakdawalla
2705,"Kevin Charles Lee School of Economics, University of Nottingham, Nottingham, United Kingdom",996,Kevin Charles
2705,"Michael J. Fleming Federal Reserve Bank of New York, New York City, New York (USA)Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)",996,Michael J. Fleming
2705,Luca Benati,996,Luca Benati
2712,"David Perez-Castrillo Unitat de Fonaments de l'Anàlisi Econòmica, Departament d'Economia i Història Econòmica, Universitat Autònoma de Barcelona, Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",995,David Perez-Castrillo
2712,Anthony David Hall,995,Anthony David
2712,"P. Dean Corbae Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",995,P. Dean Corbae
2712,"Alexander Chudik Globalization and Monetary Policy Institute, Economic Research Department, Federal Reserve Bank of Dallas, Dallas, Texas (USA)",995,Alexander Chudik
2712,"John Sutherland Earle Schar School of Policy and Government, George Mason University, Arlington, Virginia (USA)",995,John Sutherland
2712,"Roberto Serrano Economics Department, Brown University, Providence, Rhode Island (USA)",995,Roberto Serrano
2712,"Daniel M. Sturm Economics Department, London School of Economics (LSE), London, United KingdomCentre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",995,Daniel M. Sturm
2719,"Nancy Birdsall Center for Global Development (CGD), Washington, District of Columbia (USA)",994,Nancy Birdsall
2719,"Jonathan Wadsworth Department of Economics, Royal Holloway, Egham, United Kingdom",994,Jonathan Wadsworth
2721,"Paul A. Ruud Economics Department, Vassar College, Poughkeepsie, New York (USA)",993,Paul A. Ruud
2721,"Shigeyuki Hamori Faculty of Economics, Kobe University, Kobe, Japan",993,Shigeyuki Hamori
2721,"Jens Suedekum Düsseldorf Institute for Competition Economics (DICE), Wirtschaftswissenschaftliche Fakultät, Heinriche-Heine-Universität Düsseldorf, Düsseldorf, Germany",993,Jens Suedekum
2724,"Peter Rupert Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)Laboratory of Aggregate Economics and Finance (LAEF), University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)",992,Peter Rupert
2724,"Bert Scholtens Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",992,Bert Scholtens
2724,"Sudheer Chava Scheller College of Business, Georgia Institute of Technology, Atlanta, Georgia (USA)",992,Sudheer Chava
2724,"Mark Stabile Economic and Political Sciences Area, INSEAD, Fontainebleau, France",992,Mark Stabile
2728,Eduardo Ley †,991,Eduardo Ley
2729,"Dan Ben-David Department of Public Policy, Tel Aviv University, Tel Aviv, Israel",990,Dan Ben-David
2729,"Virgiliu Midrigan Department of Economics, New York University (NYU), New York City, New York (USA)",990,Virgiliu Midrigan
2729,"Ruth Suseela Meinzen-Dick International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",990,Ruth Suseela
2732,"Matthieu Crozet Department of Economics, Lingnan University, Tuen Mun, Hong Kong",989,Matthieu Crozet
2732,"David N. DeJong Department of Economics, University of Pittsburgh, Pittsburgh, Pennsylvania (USA)",989,David N. DeJong
2734,"Pontus Brodde Braunerhjelm Centre of Excellence for Science and Innovation Studies, Kungliga Tekniska Högskolan (KTH), Stockholm, Sweden",988,Pontus Brodde
2734,"Francisco Rafael Rodriguez Economics Department, Wesleyan University, Middletown, Connecticut (USA)",988,Francisco Rafael
2734,"Livio Stracca European Central Bank, Frankfurt am Main, Germany",988,Livio Stracca
2737,"Steven Globerman College of Business and Economics, Western Washington University, Bellingham, Washington (USA)",987,Steven Globerman
2737,"Holger Strulik Department für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakultät, Georg-August-Universität Göttingen, Göttingen, Germany",987,Holger Strulik
2737,"Bhaven N. Sampat Department of Health Policy and Management, Mailman School of Public Health, Columbia University, New York City, New York (USA)",987,Bhaven N. Sampat
2737,Mattias Villani,987,Mattias Villani
2737,"Roland Gerhard Fryer Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",987,Roland Gerhard
2737,"Roy Brouwer Department of Economics, University of Waterloo, Waterloo, Canada",987,Roy Brouwer
2743,"Sujoy Mukerji School of Economics and Finance, Queen Mary University of London, London, United Kingdom",986,Sujoy Mukerji
2744,David F. Bradford †,985,David F. Bradford
2744,"David-Jan Jansen de Nederlandsche Bank, Amsterdam, Netherlands",985,David-Jan Jansen
2744,"Fotios Pasiouras Montpellier Business School, Montpellier, France",985,Fotios Pasiouras
2744,"Heinrich W. Ursprung Fachbereich Wirtschaftswissenschaften, Universität Konstanz, Konstanz, Germany",985,Heinrich W. Ursprung
2748,"Amihai Glazer Department of Economics, University of California-Irvine, Irvine, California (USA)",984,Amihai Glazer
2748,"Peter Borm Departement Econometrie & Operations Research, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",984,Peter Borm
2748,"Alessandro Pavan Department of Economics, Northwestern University, Evanston, Illinois (USA)",984,Alessandro Pavan
2751,"Claudio Enrique Raddatz International Monetary Fund (IMF), Washington, District of Columbia (USA)",983,Claudio Enrique
2751,"Fukunari Kimura Faculty of Economics, Keio University, Tokyo, Japan",983,Fukunari Kimura
2751,"Jun Ishii Economics Department, Amherst College, Amherst, Massachusetts (USA)",983,Jun Ishii
